latitude,longitude,temperature_c,salinity_ppt,timestamp
25.91224682,-80.13748147,26.79999924,49.7,2021-12-16 14:19:42
25.91223856,-80.13747417,26.79999924,49.7,2021-12-16 14:19:42
25.91223182,-80.1374688,26.79999924,49.69,2021-12-16 14:19:43
25.9122238,-80.13746311,26.79999924,49.7,2021-12-16 14:19:45
25.9122155,-80.13745698,26.79999924,49.7,2021-12-16 14:19:45
25.91220811,-80.13745139,26.79999924,49.71,2021-12-16 14:19:46
25.91220006,-80.13744585,26.79999924,49.73,2021-12-16 14:19:47
25.91219239,-80.13744072,26.79999924,49.71,2021-12-16 14:19:48
25.91218385,-80.13743507,26.79999924,49.72,2021-12-16 14:19:50
25.91217497,-80.13742946,26.79999924,49.72,2021-12-16 14:19:50
25.91216732,-80.13742509,26.79999924,49.72,2021-12-16 14:19:51
25.91215805,-80.13741956,26.79999924,49.73,2021-12-16 14:19:53
25.91214912,-80.13741379,26.79999924,49.73,2021-12-16 14:19:53
25.91213974,-80.13740847,26.79999924,49.72,2021-12-16 14:19:54
25.9121316,-80.13740353,26.79999924,49.74,2021-12-16 14:19:56
25.9121241,-80.13739866,26.79999924,49.74,2021-12-16 14:19:56
25.91211605,-80.13739269,26.79999924,49.73,2021-12-16 14:19:57
25.91210773,-80.13738655,26.79999924,49.7,2021-12-16 14:19:58
25.91209946,-80.13738026,26.79999924,49.72,2021-12-16 14:20:00
25.9120911,-80.13737411,26.79999924,49.72,2021-12-16 14:20:00
25.91208377,-80.13736899,26.79999924,49.69,2021-12-16 14:20:01
25.91207501,-80.13736333,26.79999924,49.72,2021-12-16 14:20:03
25.91206651,-80.13735804,26.79999924,49.72,2021-12-16 14:20:03
25.91205837,-80.13735278,26.79999924,49.72,2021-12-16 14:20:04
25.91204907,-80.13734697,26.79999924,49.75,2021-12-16 14:20:06
25.91204029,-80.13734206,26.79999924,49.75,2021-12-16 14:20:06
25.91203206,-80.1373382,26.79999924,49.73,2021-12-16 14:20:07
25.91202365,-80.13733561,26.79999924,49.72,2021-12-16 14:20:09
25.91201453,-80.13733351,26.79999924,49.72,2021-12-16 14:20:09
25.91200497,-80.13733202,26.79999924,49.73,2021-12-16 14:20:10
25.91199642,-80.13733195,26.79999924,49.74,2021-12-16 14:20:11
25.91198719,-80.13733174,26.79999924,49.75,2021-12-16 14:20:12
25.91197657,-80.13733154,26.79999924,49.73,2021-12-16 14:20:14
25.91196692,-80.13733205,26.79999924,49.73,2021-12-16 14:20:14
25.91195781,-80.13733272,26.79999924,49.73,2021-12-16 14:20:15
25.91194814,-80.13733379,26.79999924,49.72,2021-12-16 14:20:16
25.91193937,-80.13733463,26.79999924,49.69,2021-12-16 14:20:18
25.91193089,-80.13733563,26.79999924,49.69,2021-12-16 14:20:18
25.91192024,-80.1373355,26.79999924,49.72,2021-12-16 14:20:19
25.91190984,-80.13733694,26.70000076,49.72,2021-12-16 14:20:21
25.91190051,-80.13733833,26.70000076,49.72,2021-12-16 14:20:21
25.91189057,-80.13733871,26.70000076,49.71,2021-12-16 14:20:22
25.91187874,-80.13733927,26.70000076,49.68,2021-12-16 14:20:24
25.91186869,-80.13734074,26.70000076,49.68,2021-12-16 14:20:24
25.91185914,-80.13734142,26.70000076,49.68,2021-12-16 14:20:25
25.91184999,-80.13734276,26.70000076,49.7,2021-12-16 14:20:27
25.91183823,-80.13734387,26.70000076,49.7,2021-12-16 14:20:27
25.91182854,-80.13734517,26.70000076,49.69,2021-12-16 14:20:28
25.9118191,-80.13734669,26.70000076,49.71,2021-12-16 14:20:30
25.91181096,-80.13734841,26.70000076,49.71,2021-12-16 14:20:30
25.9118014,-80.13735071,26.70000076,49.71,2021-12-16 14:20:31
25.91179183,-80.13735272,26.70000076,49.7,2021-12-16 14:20:33
25.9117831,-80.137355,26.70000076,49.7,2021-12-16 14:20:33
25.91177379,-80.13735777,26.70000076,49.7,2021-12-16 14:20:34
25.91176544,-80.13736128,26.70000076,49.62,2021-12-16 14:20:36
25.91175577,-80.1373655,26.70000076,49.62,2021-12-16 14:20:36
25.91174678,-80.13736958,26.70000076,49.6,2021-12-16 14:20:37
25.91173736,-80.13737346,26.70000076,49.59,2021-12-16 14:20:39
25.91172823,-80.13737794,26.70000076,49.59,2021-12-16 14:20:39
25.91172027,-80.13738239,26.70000076,49.62,2021-12-16 14:20:40
25.91171235,-80.13738641,26.70000076,49.69,2021-12-16 14:20:42
25.91170262,-80.13739088,26.70000076,49.69,2021-12-16 14:20:42
25.91169397,-80.13739557,26.70000076,49.78,2021-12-16 14:20:43
25.91168477,-80.13739946,26.70000076,49.82,2021-12-16 14:20:44
25.91167656,-80.13740364,26.70000076,49.85,2021-12-16 14:20:46
25.91166809,-80.13740801,26.70000076,49.85,2021-12-16 14:20:46
25.91165728,-80.13741285,26.70000076,49.9,2021-12-16 14:20:47
25.91164928,-80.13741727,26.70000076,49.88,2021-12-16 14:20:48
25.91164101,-80.13742215,26.70000076,50.06,2021-12-16 14:20:50
25.91163091,-80.13742922,26.70000076,50.06,2021-12-16 14:20:50
25.91162215,-80.13743337,26.70000076,50.04,2021-12-16 14:20:51
25.91161514,-80.13743405,26.70000076,49.98,2021-12-16 14:20:53
25.91160895,-80.13743398,26.70000076,49.98,2021-12-16 14:20:53
25.91159979,-80.13743487,26.70000076,49.97,2021-12-16 14:20:54
25.91159693,-80.13743421,26.70000076,49.88,2021-12-16 14:20:56
25.91159103,-80.13743508,26.70000076,49.88,2021-12-16 14:20:56
25.91158445,-80.13743479,26.70000076,49.97,2021-12-16 14:20:57
25.91157757,-80.13743489,26.70000076,50.03,2021-12-16 14:20:58
25.91157158,-80.13743333,26.70000076,50.12,2021-12-16 14:21:00
25.9115664,-80.13743214,26.70000076,50.1,2021-12-16 14:21:01
25.91156123,-80.1374311,26.70000076,50.08,2021-12-16 14:21:02
25.91155663,-80.13743209,26.70000076,50.08,2021-12-16 14:21:03
25.91155005,-80.13743341,26.70000076,50.09,2021-12-16 14:21:04
25.91154399,-80.13743305,26.70000076,50.08,2021-12-16 14:21:05
25.91153683,-80.13743198,26.70000076,50.07,2021-12-16 14:21:06
25.91153282,-80.13742913,26.70000076,50.07,2021-12-16 14:21:07
25.9115334,-80.13742334,26.70000076,50.07,2021-12-16 14:21:08
25.91152718,-80.13742295,26.70000076,50.06,2021-12-16 14:21:09
25.91152351,-80.13742225,26.70000076,50.07,2021-12-16 14:21:10
25.9115195,-80.13741946,26.70000076,50.08,2021-12-16 14:21:11
25.91151667,-80.13741644,26.70000076,50.08,2021-12-16 14:21:12
25.91151481,-80.13741363,26.60000038,50.08,2021-12-16 14:21:13
25.91151101,-80.13740954,26.60000038,50.08,2021-12-16 14:21:14
25.91150959,-80.13740471,26.60000038,50.07,2021-12-16 14:21:15
25.91151323,-80.13739899,26.60000038,50.04,2021-12-16 14:21:16
25.91151038,-80.13739761,26.60000038,49.99,2021-12-16 14:21:17
25.91150283,-80.13739608,26.70000076,49.97,2021-12-16 14:21:18
25.911503,-80.1373965,26.70000076,49.93,2021-12-16 14:21:19
25.91149978,-80.13739072,26.70000076,49.92,2021-12-16 14:21:20
25.91149958,-80.13738815,26.70000076,49.91,2021-12-16 14:21:21
25.91149176,-80.13738871,26.70000076,49.9,2021-12-16 14:21:22
25.91149259,-80.13738587,26.70000076,49.89,2021-12-16 14:21:23
25.91149113,-80.13738634,26.70000076,49.89,2021-12-16 14:21:24
25.9114908,-80.1373852,26.70000076,49.87,2021-12-16 14:21:25
25.91149076,-80.13738381,26.70000076,49.88,2021-12-16 14:21:26
25.91149135,-80.13738219,26.70000076,49.87,2021-12-16 14:21:27
25.91149007,-80.13738053,26.70000076,49.87,2021-12-16 14:21:28
25.91148976,-80.13737911,26.70000076,49.87,2021-12-16 14:21:29
25.91148933,-80.13737868,26.70000076,49.86,2021-12-16 14:21:30
25.91148852,-80.13737739,26.70000076,49.87,2021-12-16 14:21:31
25.91148779,-80.13737654,26.70000076,49.86,2021-12-16 14:21:32
25.91148719,-80.13737517,26.70000076,49.86,2021-12-16 14:21:33
25.91148671,-80.13737483,26.70000076,49.85,2021-12-16 14:21:34
25.91148637,-80.13737405,26.70000076,49.86,2021-12-16 14:21:35
25.91148585,-80.13737359,26.70000076,49.86,2021-12-16 14:21:36
25.91148506,-80.13737314,26.70000076,49.86,2021-12-16 14:21:37
25.91148454,-80.13737234,26.70000076,49.85,2021-12-16 14:21:38
25.91148409,-80.13737094,26.70000076,49.87,2021-12-16 14:21:39
25.91148362,-80.13736941,26.70000076,49.85,2021-12-16 14:21:40
25.91148298,-80.13736705,26.70000076,49.85,2021-12-16 14:21:41
25.91148214,-80.13736466,26.70000076,49.85,2021-12-16 14:21:42
25.91148114,-80.13736177,26.70000076,49.85,2021-12-16 14:21:43
25.91148013,-80.13735814,26.70000076,49.85,2021-12-16 14:21:44
25.91147899,-80.13735431,26.70000076,49.84,2021-12-16 14:21:46
25.91147842,-80.13734982,26.70000076,49.84,2021-12-16 14:21:47
25.91147812,-80.13734537,26.70000076,49.84,2021-12-16 14:21:47
25.91147802,-80.1373398,26.70000076,49.82,2021-12-16 14:21:49
25.91147848,-80.13733444,26.70000076,49.82,2021-12-16 14:21:49
25.91148008,-80.13732908,26.70000076,49.81,2021-12-16 14:21:50
25.91148228,-80.13732316,26.70000076,49.8,2021-12-16 14:21:52
25.91148445,-80.13731824,26.70000076,49.8,2021-12-16 14:21:52
25.91148699,-80.13731242,26.70000076,49.79,2021-12-16 14:21:53
25.91148997,-80.13730717,26.70000076,49.78,2021-12-16 14:21:55
25.91149368,-80.13730166,26.70000076,49.78,2021-12-16 14:21:55
25.91149735,-80.13729625,26.70000076,49.78,2021-12-16 14:21:56
25.91150144,-80.13729202,26.70000076,49.8,2021-12-16 14:21:58
25.91150539,-80.13728747,26.70000076,49.8,2021-12-16 14:21:58
25.91150948,-80.13728276,26.70000076,49.78,2021-12-16 14:21:59
25.9115139,-80.13727889,26.70000076,49.77,2021-12-16 14:22:01
25.9115188,-80.13727544,26.70000076,49.77,2021-12-16 14:22:02
25.91152353,-80.13727193,26.70000076,49.77,2021-12-16 14:22:02
25.9115287,-80.13726833,26.70000076,49.76,2021-12-16 14:22:03
25.91153341,-80.13726519,26.70000076,49.74,2021-12-16 14:22:05
25.9115386,-80.13726243,26.70000076,49.74,2021-12-16 14:22:05
25.91154396,-80.1372598,26.70000076,49.74,2021-12-16 14:22:06
25.91154937,-80.13725652,26.70000076,49.72,2021-12-16 14:22:08
25.91155504,-80.13725358,26.70000076,49.73,2021-12-16 14:22:09
25.91155976,-80.13725064,26.70000076,49.73,2021-12-16 14:22:09
25.91156556,-80.13724818,26.70000076,49.71,2021-12-16 14:22:10
25.9115717,-80.13724483,26.70000076,49.71,2021-12-16 14:22:11
25.91157712,-80.13724161,26.79999924,49.7,2021-12-16 14:22:12
25.91158209,-80.13723962,26.70000076,49.69,2021-12-16 14:22:14
25.91158812,-80.13723642,26.70000076,49.69,2021-12-16 14:22:14
25.91159362,-80.13723399,26.70000076,49.67,2021-12-16 14:22:15
25.91159972,-80.1372314,26.70000076,49.66,2021-12-16 14:22:17
25.91160479,-80.13722999,26.70000076,49.66,2021-12-16 14:22:17
25.91161154,-80.13722889,26.70000076,49.65,2021-12-16 14:22:18
25.91161994,-80.13722945,26.70000076,49.55,2021-12-16 14:22:20
25.91162675,-80.13722938,26.70000076,49.55,2021-12-16 14:22:20
25.91163487,-80.13722916,26.70000076,49.55,2021-12-16 14:22:21
25.91164278,-80.1372293,26.70000076,49.54,2021-12-16 14:22:22
25.9116519,-80.1372298,26.70000076,49.52,2021-12-16 14:22:24
25.91165952,-80.1372298,26.70000076,49.55,2021-12-16 14:22:25
25.91166819,-80.13722913,26.70000076,49.55,2021-12-16 14:22:25
25.91167655,-80.1372287,26.70000076,49.55,2021-12-16 14:22:26
25.91168564,-80.13722872,26.70000076,49.53,2021-12-16 14:22:28
25.91169396,-80.13722886,26.70000076,49.51,2021-12-16 14:22:29
25.91170354,-80.13722829,26.70000076,49.51,2021-12-16 14:22:30
25.91171244,-80.13722867,26.70000076,49.51,2021-12-16 14:22:30
25.91172077,-80.13722904,26.70000076,49.51,2021-12-16 14:22:31
25.91172838,-80.13722913,26.70000076,49.51,2021-12-16 14:22:33
25.91173806,-80.13722979,26.70000076,49.54,2021-12-16 14:22:34
25.91174755,-80.13723023,26.70000076,49.54,2021-12-16 14:22:34
25.91175576,-80.13723021,26.70000076,49.5,2021-12-16 14:22:35
25.91176461,-80.13723072,26.70000076,49.49,2021-12-16 14:22:36
25.91177384,-80.13723136,26.70000076,49.45,2021-12-16 14:22:38
25.91178296,-80.13723204,26.70000076,49.45,2021-12-16 14:22:38
25.9117908,-80.13723367,26.70000076,49.43,2021-12-16 14:22:39
25.91179965,-80.13723489,26.70000076,49.43,2021-12-16 14:22:41
25.91180819,-80.13723482,26.70000076,49.43,2021-12-16 14:22:41
25.91181593,-80.13723497,26.70000076,49.43,2021-12-16 14:22:42
25.91182503,-80.13723601,26.70000076,49.44,2021-12-16 14:22:44
25.91183363,-80.13723728,26.70000076,49.44,2021-12-16 14:22:44
25.91184242,-80.13723924,26.60000038,49.44,2021-12-16 14:22:45
25.9118502,-80.13724088,26.60000038,49.42,2021-12-16 14:22:47
25.91185869,-80.13724164,26.60000038,49.42,2021-12-16 14:22:47
25.91186726,-80.13724363,26.60000038,49.42,2021-12-16 14:22:48
25.91187605,-80.13724497,26.70000076,49.4,2021-12-16 14:22:50
25.91188512,-80.13724618,26.70000076,49.4,2021-12-16 14:22:50
25.91189325,-80.13724703,26.60000038,49.4,2021-12-16 14:22:51
25.91190174,-80.13724796,26.60000038,49.39,2021-12-16 14:22:52
25.91191243,-80.13724912,26.60000038,49.43,2021-12-16 14:22:54
